benchmark,relay,cap,obs,up,down
fixedrate,direct,220,13,5.94,265.935
fixedrate,direct,220,14,5.329,228.723
fixedrate,direct,220,15,5.148,231.685
fixedrate,direct,220,16,5.478,232.988
fixedrate,direct,220,17,7.404,221.401
fixedrate,direct,220,18,5.346,240.677
fixedrate,direct,220,19,5.082,230.263
fixedrate,direct,220,20,5.016,223.518
fixedrate,direct,230,1,3.709,97.638
fixedrate,direct,230,2,4.884,221.044
fixedrate,direct,230,3,7.194,317.042
fixedrate,direct,230,4,5.61,242.311
fixedrate,direct,230,5,5.742,240.797
fixedrate,direct,230,6,5.346,239.895
fixedrate,direct,230,7,5.346,239.944
fixedrate,direct,230,8,5.544,245.914
fixedrate,direct,230,9,5.742,242.311
fixedrate,direct,230,10,8.052,243.313
fixedrate,direct,230,11,5.544,241.656
fixedrate,direct,230,12,5.346,242.432
fixedrate,direct,230,13,5.684,241.745
fixedrate,direct,230,14,11.211,286.782
fixedrate,direct,230,15,5.61,241.656
fixedrate,direct,230,16,5.478,235.6
fixedrate,direct,230,17,5.346,231.768
fixedrate,direct,230,18,6.072,258.663
fixedrate,direct,230,19,5.544,241.716
fixedrate,direct,230,20,5.676,242.02
fixedrate,direct,240,1,3.427,108.198
fixedrate,direct,240,2,4.818,214.988
fixedrate,direct,240,3,8.898,352.762
fixedrate,direct,240,4,7.459,260.132
fixedrate,direct,240,5,6.42,231.528
fixedrate,direct,240,6,3.696,168.054
fixedrate,direct,240,7,4.554,204.39
fixedrate,direct,240,8,5.148,227.1
fixedrate,direct,240,9,7.128,327.144
fixedrate,direct,240,10,7.854,351.628
fixedrate,direct,240,11,5.808,251.826
fixedrate,direct,240,12,6.84,246.823
fixedrate,direct,240,13,5.808,253.415
fixedrate,direct,240,14,5.874,254.797
fixedrate,direct,240,15,5.874,252.315
fixedrate,direct,240,16,5.088,210.45
fixedrate,direct,240,17,6.894,255.866
fixedrate,direct,240,18,6.402,289.282
fixedrate,direct,240,19,5.808,251.842
fixedrate,direct,240,20,5.742,251.35
fixedrate,direct,250,1,3.469,112.369
fixedrate,direct,250,2,4.686,205.904
fixedrate,direct,250,3,7.458,336.108
fixedrate,direct,250,4,7.458,324.649
fixedrate,direct,250,5,5.61,249.816
fixedrate,direct,250,6,5.808,258.66
fixedrate,direct,250,7,6.204,278.323
fixedrate,direct,250,8,5.874,264.351
fixedrate,direct,250,9,5.874,262.448
fixedrate,direct,250,10,5.874,263.141
fixedrate,direct,250,11,5.412,244.082
fixedrate,direct,250,12,6.336,281.753
fixedrate,direct,250,13,18.241,469.001
fixedrate,direct,250,14,9.16,283.477
fixedrate,direct,250,15,6.278,269.288
fixedrate,direct,250,16,5.742,258.576
fixedrate,direct,250,17,6.138,267.809
fixedrate,direct,250,18,5.94,263.34
fixedrate,direct,250,19,5.874,261.323
fixedrate,direct,250,20,5.916,262.897
fixedrate,direct,260,1,4.571,94.082
fixedrate,direct,260,2,4.598,166.58
fixedrate,direct,260,3,6.798,301.286
fixedrate,direct,260,4,10.296,463.051
fixedrate,direct,260,5,7.314,267.029
fixedrate,direct,260,6,5.94,264.0
fixedrate,direct,260,7,5.762,182.041
fixedrate,direct,260,8,6.138,266.464
fixedrate,direct,260,9,7.986,313.398
fixedrate,direct,260,10,6.138,257.38
fixedrate,direct,260,11,4.686,208.932
fixedrate,direct,260,12,6.798,298.564
fixedrate,direct,260,13,7.932,293.716
fixedrate,direct,260,14,6.732,307.95
fixedrate,direct,260,15,8.58,327.024
fixedrate,direct,260,16,6.984,251.763
fixedrate,direct,260,17,3.3,145.344
fixedrate,direct,260,18,5.682,192.338
fixedrate,direct,260,19,5.28,239.272
fixedrate,direct,260,20,9.378,278.146
